max_layers,run,best_model_accuracy,best_model_layers,layers_added,total_growth_attempts,rollback_count,total_candidate_attempts
10,1,0.7261503928170595,9,10,28,6,144
10,10,0.7070707070707071,10,10,25,5,122
10,2,0.7115600448933782,2,10,28,6,117
10,3,0.7003367003367004,10,10,67,19,388
10,4,0.7227833894500562,8,10,76,22,445
10,5,0.7508417508417509,5,10,40,10,202
10,6,0.67003367003367,5,10,16,2,56
10,7,0.7048260381593715,4,10,31,7,185
10,8,0.7800224466891134,6,10,79,23,457
10,9,0.7351290684624018,8,10,115,35,599
15,1,0.7306397306397306,12,15,93,26,520
15,10,0.7396184062850729,8,15,231,72,1387
15,2,0.7160493827160493,9,15,78,21,454
15,3,0.7048260381593715,10,15,261,82,1497
15,4,0.7676767676767676,15,15,306,97,1801
15,5,0.7721661054994389,8,15,141,42,788
15,6,0.7789001122334456,6,15,192,59,1124
15,7,0.7070707070707071,4,15,165,50,953
15,8,0.7418630751964085,11,15,108,31,587
15,9,0.6644219977553311,12,15,30,5,145
20,1,0.7676767676767676,18,20,650,210,3788
20,10,0.8271604938271605,11,20,1355,445,8069
20,2,0.6857463524130191,13,20,191,57,1150
20,3,0.7957351290684624,9,20,467,149,2811
20,4,0.77665544332211,20,20,293,91,1679
20,5,0.7777777777777778,14,20,437,139,2574
20,6,0.7721661054994389,13,20,1733,571,10318
20,7,0.7586980920314254,17,20,470,150,2741
20,8,0.7037037037037037,17,20,326,102,1919
20,9,0.7687991021324355,18,20,323,101,1822
25,1,0.7744107744107744,7,10,2500,830,15182
25,10,0.8035914702581369,23,25,895,290,5481
25,2,0.7878787878787878,16,19,2500,827,14987
25,3,0.7890011223344556,13,25,2134,703,12889
25,4,0.7957351290684624,15,25,1426,467,8414
25,5,0.7789001122334456,6,25,2131,702,12612
25,6,0.7295173961840629,25,25,805,260,4842
25,7,0.7620650953984287,25,25,148,41,845
25,8,0.7283950617283951,23,25,880,285,5226
25,9,0.7396184062850729,8,25,730,235,4382
30,1,0.7710437710437711,11,30,2217,729,13391
30,10,0.7283950617283951,19,13,2500,829,14693
30,2,0.7620650953984287,22,30,2139,703,12927
30,3,0.7777777777777778,27,30,1050,340,6132
30,4,0.7901234567901234,13,30,963,311,5845
30,5,0.8114478114478114,20,10,2500,830,15201
30,6,0.7732884399551067,4,30,1008,326,5989
30,7,0.813692480359147,15,30,1164,378,6892
30,8,0.7676767676767676,16,30,624,198,3679
30,9,0.7732884399551067,17,30,1509,493,8916
35,1,0.7833894500561167,18,35,536,167,3172
35,10,0.8035914702581369,23,25,2500,825,14796
35,2,0.8024691358024691,27,35,860,275,4988
35,3,0.7407407407407407,15,13,2500,829,15011
35,4,0.7474747474747475,8,10,2500,830,15046
35,5,0.7822671156004489,35,35,1796,587,10628
35,6,0.7957351290684624,16,16,2500,828,15107
35,7,0.7676767676767676,9,10,2500,830,15212
35,8,0.7901234567901234,16,19,2500,827,15031
35,9,0.7901234567901234,13,19,2500,827,14929
40,1,0.7721661054994389,20,19,2500,827,15164
40,10,0.7564534231200898,36,40,1510,490,9187
40,2,0.7845117845117845,20,22,2500,826,15047
40,3,0.7934904601571269,27,28,2500,824,14748
40,4,0.7396184062850729,35,40,1387,449,8154
40,5,0.7631874298540965,14,13,2500,829,15015
40,6,0.7833894500561167,22,7,2500,831,15012
40,7,0.797979797979798,27,23,2500,826,14862
40,8,0.8024691358024691,26,22,2500,826,15214
40,9,0.7643097643097643,9,19,2500,827,14987
45,1,0.7957351290684624,17,16,2500,828,15030
45,10,0.7216610549943884,20,19,2500,827,14718
45,2,0.7643097643097643,6,19,2500,827,15166
45,3,0.792368125701459,30,25,2500,825,14860
45,4,0.7744107744107744,10,28,2500,824,14947
45,5,0.7991021324354658,21,16,2500,828,14971
45,6,0.7968574635241302,33,25,2500,825,15141
45,7,0.7934904601571269,9,25,2500,825,15120
45,8,0.7934904601571269,27,19,2500,827,15070
45,9,0.7991021324354658,13,4,2500,832,15252
5,1,0.6588103254769921,5,5,8,1,40
5,10,0.6835016835016835,4,5,11,2,37
5,2,0.6262626262626263,5,5,5,0,6
5,3,0.5802469135802469,5,5,5,0,8
5,4,0.6520763187429854,5,5,5,0,17
5,5,0.6846240179573513,5,5,5,0,10
5,6,0.6778900112233446,5,5,5,0,19
5,7,0.6655443322109988,4,5,11,2,46
5,8,0.6835016835016835,5,5,5,0,7
5,9,0.7396184062850729,5,5,5,0,15
50,1,0.7261503928170595,17,13,2500,829,14834
50,10,0.7598204264870931,11,31,2500,823,14971
50,2,0.7643097643097643,16,19,2500,827,15134
50,3,0.7901234567901234,31,22,2500,826,15111
50,4,0.8170594837261503,20,19,2500,827,15102
50,5,0.7351290684624018,40,25,2500,825,14956
50,6,0.8047138047138047,24,10,2500,830,15076
50,7,0.7833894500561167,24,7,2500,831,15063
50,8,0.792368125701459,15,22,2500,826,15155
50,9,0.7295173961840629,30,19,2500,827,15061
