Survived,Age,FamilySize,IsAlone,Age*Class,Age*Fare,AgeBand,FareBand,Fare_log,Sex_male,Pclass_2,Pclass_3,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs
0,-0.5829766587816517,0.059159876663617626,-1.2316448970959013,0.03452339923356845,-0.47350865891677785,0.11393227053944749,-1.3397369794696112,-0.8797405693934278,1,0,1,0,1,0,1,0
1,0.6232607228526461,0.059159876663617626,-1.2316448970959013,-0.8011772121256854,0.9332046987754523,0.11393227053944749,1.3447584823911616,1.3612199269233833,0,0,0,0,0,0,0,1
1,-0.28141731337307724,-0.5609748304808925,0.8119223343984152,0.3926808041018201,-0.44782184466802477,0.11393227053944749,-0.4449051588493537,-0.798539974052802,0,0,1,0,1,1,0,0
1,0.39709121379621526,0.059159876663617626,-1.2316448970959013,-0.8907165633427483,0.4640186753180567,0.11393227053944749,1.3447584823911616,1.0620380556287106,0,0,0,0,1,0,0,1
0,0.39709121379621526,-0.5609748304808925,0.8119223343984152,1.1985349650553863,-0.4060497321303102,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.41067266562014065,0.11393227053944749,-0.4449051588493537,-0.7386163019798164,1,0,1,1,0,0,1,0
0,1.8294981044869438,-0.5609748304808925,0.8119223343984152,-0.3236340056346832,0.9838662700204002,1.3224281401900153,1.3447584823911616,1.038145562232327,1,0,0,0,1,0,1,0
0,-2.090773385824524,1.9195639980971482,-1.2316448970959013,-1.7562636251076897,-0.5382637105191662,-2.3030594687616883,0.44992666177090385,0.1364991380659541,1,0,1,0,1,0,0,0
1,-0.20602747702093363,0.6792945838081278,-1.2316448970959013,0.482220155318883,-0.3956485864706717,0.11393227053944749,-0.4449051588493537,-0.48145578049281335,0,0,1,0,1,0,0,1
1,-1.1860953495988005,0.059159876663617626,-1.2316448970959013,-1.0996417161825618,-0.3292148698279798,-1.0945635991111204,0.44992666177090385,0.4894379098126231,0,1,0,0,0,0,0,1
1,-1.9399937131202367,0.6792945838081278,-1.2316448970959013,-1.577184922673564,-0.5246615629094613,-2.3030594687616883,0.44992666177090385,-0.09156500424402261,0,0,1,0,1,1,0,0
1,2.1310574498955184,-0.5609748304808925,0.8119223343984152,-0.20424820401193264,0.28821160722669814,1.3224281401900153,0.44992666177090385,0.36526093570402607,0,0,0,0,1,1,0,0
0,-0.7337563314859389,-0.5609748304808925,0.8119223343984152,-0.14455530320055737,-0.4726809420236924,-1.0945635991111204,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,0.6986505592047897,3.1598334123861687,-1.2316448970959013,1.556692369923638,0.11153543639759965,0.11393227053944749,1.3447584823911616,0.5286989276421437,1,0,1,0,1,0,1,0
0,-1.1860953495988005,-0.5609748304808925,0.8119223343984152,-0.6817914105029349,-0.5008460510125958,-1.0945635991111204,-1.3397369794696112,-0.806763380796033,0,0,1,0,1,1,0,0
1,1.9048879408390875,-0.5609748304808925,0.8119223343984152,1.3477672170838244,-0.07592864460471294,1.3224281401900153,0.44992666177090385,-0.13322852057373055,0,1,0,0,1,0,0,1
0,-2.090773385824524,2.5396987052416584,-1.2316448970959013,-1.7562636251076897,-0.5293795492000486,-2.3030594687616883,0.44992666177090385,0.457519539438721,1,0,1,1,0,0,0,0
1,0.1950464523724704,-0.5609748304808925,0.8119223343984152,-0.006067773318166721,-0.3296735353490015,0.11393227053944749,-0.4449051588493537,-0.3336984726090336,1,1,0,0,1,0,1,0
0,0.09553186838764081,0.059159876663617626,-1.2316448970959013,0.8403775601871347,-0.25361187098706534,0.11393227053944749,0.44992666177090385,-0.01838583697289204,0,0,1,0,1,0,0,1
1,0.4619264730590587,-0.5609748304808925,0.8119223343984152,1.2755388071020604,-0.41855460304541475,0.11393227053944749,-1.3397369794696112,-0.8828741679067217,0,0,1,0,0,0,0,1
0,0.39709121379621526,-0.5609748304808925,0.8119223343984152,0.153909200856319,-0.059374306743003084,0.11393227053944749,0.44992666177090385,0.3444394801955362,1,1,0,0,1,0,1,0
1,0.3217013774440717,-0.5609748304808925,0.8119223343984152,0.09421630004494372,-0.31762197738567677,0.11393227053944749,-0.4449051588493537,-0.3336984726090336,1,1,0,0,1,0,1,0
1,-1.110705513246657,-0.5609748304808925,0.8119223343984152,-0.592252059285872,-0.4950635104352482,-1.0945635991111204,-0.4449051588493537,-0.7865550587251358,0,0,1,1,0,1,0,0
1,-0.13063764066879002,-0.5609748304808925,0.8119223343984152,-1.0996417161825618,-0.0130221607302155,0.11393227053944749,1.3447584823911616,0.6557188297748954,1,0,0,0,1,0,1,0
0,-1.6384343677116622,1.9195639980971482,-1.2316448970959013,-1.2190275178053123,-0.46848717643205917,-2.3030594687616883,0.44992666177090385,0.1364991380659541,0,0,1,0,1,1,0,0
1,0.6232607228526461,3.1598334123861687,-1.2316448970959013,1.467153018706575,0.09663653232206079,0.11393227053944749,1.3447584823911616,0.5322916934007406,0,0,1,0,1,0,0,1
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.43266800378941556,0.11393227053944749,-1.3397369794696112,-0.8828741679067217,1,0,1,0,0,0,1,0
0,-0.8091461678380826,2.5396987052416584,-1.2316448970959013,-1.3682597698337504,2.1958783212839355,-1.0945635991111204,1.3447584823911616,2.6987007794454887,1,0,0,0,1,0,1,0
1,-0.6071014064143376,-0.5609748304808925,0.8119223343984152,0.0058708068441080796,-0.46726157271759994,0.11393227053944749,-1.3397369794696112,-0.8038521494426432,0,0,1,1,0,1,0,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.42070459436433677,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,1,0,1,0,1,0,1,0
0,0.7740403955569333,-0.5609748304808925,0.8119223343984152,-0.7414843113143101,0.050343430114313414,0.11393227053944749,0.44992666177090385,0.4082334475616762,1,0,0,0,0,0,1,0
1,0.4619264730590587,0.059159876663617626,-1.2316448970959013,-0.865048615993857,2.3378239812875674,0.11393227053944749,1.3447584823911616,2.097794920021772,0,0,0,0,0,0,0,1
1,-0.6071014064143376,-0.5609748304808925,0.8119223343984152,0.0058708068441080796,-0.46880722696405225,0.11393227053944749,-1.3397369794696112,-0.8189865811572414,0,0,1,1,0,1,0,0
0,2.734176140712667,-0.5609748304808925,0.8119223343984152,2.0043891260089524,-0.179117350609371,2.530924009840583,-0.4449051588493537,-0.5368057694182641,1,1,0,0,1,0,1,0
0,-0.13063764066879002,0.059159876663617626,-1.2316448970959013,-1.0996417161825618,0.7080750846476535,0.11393227053944749,1.3447584823911616,1.5060857797883969,1,0,0,0,0,0,1,0
0,0.9248200682612205,0.059159876663617626,-1.2316448970959013,-0.6817914105029349,0.6436332411176086,1.3224281401900153,1.3447584823911616,1.0408277503255374,1,0,0,0,1,0,1,0
1,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.4325930987214589,0.11393227053944749,-1.3397369794696112,-0.8823470582632056,1,0,1,0,0,0,1,0
0,-0.6583664951337953,-0.5609748304808925,0.8119223343984152,-0.05501595198349447,-0.46823886136413356,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,-0.8845360041902262,0.6792945838081278,-1.2316448970959013,-0.3236340056346832,-0.3827357063084022,-1.0945635991111204,0.44992666177090385,-0.01838583697289204,0,0,1,0,1,1,0,0
1,-1.1860953495988005,0.059159876663617626,-1.2316448970959013,-0.6817914105029349,-0.47467640190954286,-1.0945635991111204,-0.4449051588493537,-0.47227211715402734,0,0,1,0,0,1,0,0
0,0.7740403955569333,0.059159876663617626,-1.2316448970959013,1.646231721140701,-0.35238608689526746,0.11393227053944749,-0.4449051588493537,-0.6331972544104215,0,0,1,0,1,0,0,1
0,-0.20602747702093363,0.059159876663617626,-1.2316448970959013,-0.3236340056346832,-0.2486455696285524,0.11393227053944749,0.44992666177090385,0.1329851701219792,0,1,0,0,1,0,0,1
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.42070459436433677,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,1,0,1,0,0,0,1,0
1,-2.0153835494723804,1.299429290952638,-1.2316448970959013,-1.7562636251076897,-0.4926909427329079,-2.3030594687616883,1.3447584823911616,0.8147822510349934,0,1,0,0,0,1,0,0
1,-0.8091461678380826,-0.5609748304808925,0.8119223343984152,-0.23409465441762028,-0.47891376059087853,-1.0945635991111204,-1.3397369794696112,-0.8038521494426432,0,0,1,1,0,1,0,0
