node_count,edge_count,max_parallelism,avg_out_degree,critical_path_length,branching_factor,avg_width,width_std,model_id
56,80,13,0.911,7,0.089,11.2,1.166,model_1
58,83,12,0.914,7,0.121,11.6,0.49,model_2
56,82,12,0.929,7,0.125,11.2,0.748,model_3
119,154,15,1.008,11,0.134,13.222,1.133,model_4
20,38,11,0.55,4,0.0,10.0,1.0,model_5
93,124,13,1.0,10,0.14,11.625,0.696,model_6
62,89,14,0.935,7,0.161,12.4,1.02,model_7
90,121,17,1.0,8,0.156,15.0,1.155,model_8
66,89,15,0.924,7,0.091,13.2,2.227,model_9
74,97,17,0.932,7,0.095,14.8,1.72,model_10
156,195,15,1.045,14,0.141,13.0,1.732,model_11
114,143,14,1.009,17,0.096,7.6,2.498,model_12
107,138,12,1.009,13,0.112,9.727,1.213,model_13
184,224,16,1.065,17,0.125,12.267,1.806,model_14
250,302,16,1.1,22,0.14,12.5,2.086,model_15
93,120,14,1.0,11,0.086,10.333,2.108,model_16
172,212,11,1.081,22,0.134,8.6,1.497,model_17
254,314,16,1.122,22,0.165,12.7,1.819,model_18
170,204,13,1.059,19,0.106,10.0,1.749,model_19
196,236,14,1.087,22,0.122,9.8,2.293,model_20
215,266,16,1.107,27,0.149,8.6,3.262,model_21
336,409,19,1.11,27,0.161,13.44,3.287,model_22
190,230,15,1.089,25,0.126,8.261,2.847,model_23
226,270,12,1.084,24,0.124,10.273,0.962,model_24
304,361,15,1.105,32,0.135,10.133,2.156,model_25
185,221,15,1.049,17,0.103,12.333,1.886,model_26
320,379,15,1.1,32,0.131,10.667,2.226,model_27
255,302,13,1.086,29,0.118,9.444,1.663,model_28
389,462,14,1.113,37,0.139,11.114,1.848,model_29
133,167,16,1.068,13,0.135,12.091,2.353,model_30
