model_path,num_cores,avg_latency_ms,throughput_samples_per_sec,std_latency_ms,timestamp,cpu_util_percent,memory_mb,python_version,graph_node_count,thread_count_before,thread_count_after,model_id,actual_layers,group,node_count,max_parallelism,critical_path_length,avg_width,width_std,branching_factor,avg_out_degree,latency_1,speedup,version
experiments/PipelineParallel_exp2/models/model_1,1,8.893634,112.447993,0.106196,2025-11-01 17:01:41,14.0,121.9,3.12.12,56,2,2,model_1,5,Shallow,56,13,7,11.2,1.166,0.089,0.911,8.893634,1.0,GIL
experiments/PipelineParallel_exp2/models/model_1,2,8.891292,112.472066,0.058891,2025-11-01 17:01:43,9.7,122.1,3.12.12,56,2,2,model_1,5,Shallow,56,13,7,11.2,1.166,0.089,0.911,8.893634,1.0002634037887859,GIL
experiments/PipelineParallel_exp2/models/model_1,4,9.946038,100.563763,0.204295,2025-11-01 17:01:46,9.7,122.1,3.12.12,56,2,2,model_1,5,Shallow,56,13,7,11.2,1.166,0.089,0.911,8.893634,0.8941886206346689,GIL
experiments/PipelineParallel_exp2/models/model_1,8,11.250647,89.05855,0.704841,2025-11-01 17:01:50,9.7,123.0,3.12.12,56,2,2,model_1,5,Shallow,56,13,7,11.2,1.166,0.089,0.911,8.893634,0.7904997819236529,GIL
experiments/PipelineParallel_exp2/models/model_1,16,12.077449,83.088292,1.007936,2025-11-01 17:01:53,10.0,123.8,3.12.12,56,2,2,model_1,5,Shallow,56,13,7,11.2,1.166,0.089,0.911,8.893634,0.7363834862809191,GIL
experiments/PipelineParallel_exp2/models/model_2,1,9.280771,107.757374,0.111025,2025-11-01 17:01:56,9.3,123.8,3.12.12,58,2,2,model_2,5,Shallow,58,12,7,11.6,0.49,0.121,0.914,9.280771,1.0,GIL
experiments/PipelineParallel_exp2/models/model_2,2,9.198446,108.714121,0.012649,2025-11-01 17:01:59,9.7,123.9,3.12.12,58,2,2,model_2,5,Shallow,58,12,7,11.6,0.49,0.121,0.914,9.280771,1.0089498813169093,GIL
experiments/PipelineParallel_exp2/models/model_2,4,10.953021,91.299271,0.025908,2025-11-01 17:02:02,9.5,123.9,3.12.12,58,2,2,model_2,5,Shallow,58,12,7,11.6,0.49,0.121,0.914,9.280771,0.847325226528827,GIL
experiments/PipelineParallel_exp2/models/model_2,8,12.068671,83.016351,0.742678,2025-11-01 17:02:06,10.1,123.7,3.12.12,58,2,2,model_2,5,Shallow,58,12,7,11.6,0.49,0.121,0.914,9.280771,0.7689969342937594,GIL
experiments/PipelineParallel_exp2/models/model_2,16,13.707802,73.011817,0.558769,2025-11-01 17:02:10,10.2,123.7,3.12.12,58,2,2,model_2,5,Shallow,58,12,7,11.6,0.49,0.121,0.914,9.280771,0.6770429715865461,GIL
experiments/PipelineParallel_exp2/models/model_3,1,8.504423,117.61812,0.19913,2025-11-01 17:02:12,9.5,123.7,3.12.12,56,2,2,model_3,5,Shallow,56,12,7,11.2,0.748,0.125,0.929,8.504423,1.0,GIL
experiments/PipelineParallel_exp2/models/model_3,2,9.073922,110.23486,0.207896,2025-11-01 17:02:15,9.6,123.7,3.12.12,56,2,2,model_3,5,Shallow,56,12,7,11.2,0.748,0.125,0.929,8.504423,0.9372378338716157,GIL
experiments/PipelineParallel_exp2/models/model_3,4,10.190673,98.174337,0.309886,2025-11-01 17:02:18,9.5,123.7,3.12.12,56,2,2,model_3,5,Shallow,56,12,7,11.2,0.748,0.125,0.929,8.504423,0.8345300648936531,GIL
