node_group,version,num_cores,speedup
Large (≥191),GIL,1,1.0
Large (≥191),GIL,2,0.9789774802885928
Large (≥191),GIL,4,0.9149993379188709
Large (≥191),GIL,8,0.8871394782295754
Large (≥191),GIL,16,0.8287349426094902
Large (≥191),noGIL,1,1.0
Large (≥191),noGIL,2,1.9945338117511706
Large (≥191),noGIL,4,3.965891850194989
Large (≥191),noGIL,8,7.363520660717777
Large (≥191),noGIL,16,9.032710933395872
Medium (94–190),GIL,1,1.0
Medium (94–190),GIL,2,0.9797616153211693
Medium (94–190),GIL,4,0.9056082663195113
Medium (94–190),GIL,8,0.8605405390804876
Medium (94–190),GIL,16,0.7837011027818986
Medium (94–190),noGIL,1,1.0
Medium (94–190),noGIL,2,1.99022649109654
Medium (94–190),noGIL,4,3.9586336468592065
Medium (94–190),noGIL,8,7.111961343805885
Medium (94–190),noGIL,16,8.923313998818944
Small (≤93),GIL,1,1.0
Small (≤93),GIL,2,0.9778988418117462
Small (≤93),GIL,4,0.8859333088993834
Small (≤93),GIL,8,0.8064421025231949
Small (≤93),GIL,16,0.7135744743407233
Small (≤93),noGIL,1,1.0
Small (≤93),noGIL,2,1.9788603435112813
Small (≤93),noGIL,4,3.863509844122928
Small (≤93),noGIL,8,7.128970678783818
Small (≤93),noGIL,16,10.191947748086852
